sku,brand,product_name,variant,perfume_type,gender,ml,barcode,sale_price,original_price,available,source_site,source_url,scraped_at
LATDELAKHUNK200,LATTAFA,DESODORANTE LATTAFA KHAMRAH QAHWA PERFUMED SPRAY 200 ML HOMBRE – CAFE,,Unknown,Hombre,200,,2700,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/lattafa/desodorante-lattafa-khamrah-qahwa-perfumed-spray-200-ml-hombre-cafe/,2026-05-30
LATDELAQAUNK200,LATTAFA,DESODORANTE LATTAFA QAED AL FURSAN PERFUMED SPRAY 200 ML HOMBRE,,Unknown,Hombre,200,,2400,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/lattafa/desodorante-lattafa-qaed-al-fursan-perfumed-spray-200-ml-hombre/,2026-05-30
LATDELARAUNK200,LATTAFA,DESODORANTE LATTAFA RAMZ LATTAFA GOLD PERFUMED SPRAY 200 ML HOMBRE,,Unknown,Hombre,200,,2700,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/lattafa/desodorante-lattafa-ramz-lattafa-gold-perfumed-spray-200-ml-hombre/,2026-05-30
LATDELARAUNK200,LATTAFA,DESODORANTE LATTAFA RAMZ LATTAFA SILVER PERFUMED SPRAY 200 ML HOMBRE,,Unknown,Hombre,200,,3390,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/lattafa/desodorante-lattafa-ramz-lattafa-silver-perfumed-spray-200-ml-hombre/,2026-05-30
LATDELARAUNK200,LATTAFA,DESODORANTE LATTAFA RAVE NOW 200ML HOMBRE – NEGRO,,Unknown,Hombre,200,,2700,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/lattafa/desodorante-lattafa-rave-now-200ml-hombre-negro/,2026-05-30
NIKDENIMAUNK200,NIKE,DESODORANTE NIKE MAN URBAN WOOD 200ML HOMBRE,,Unknown,Hombre,200,,2990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/nike/desodorante-nike-man-urban-wood-200ml-hombre/,2026-05-30
NIKDENIUREDT200,NIKE,DESODORANTE NIKE URBANITE SPICY ROAD EDT 200ML 24H HOMBRE,,EDT,Hombre,200,,2800,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/nike/desodorante-nike-urbanite-spicy-road-edt-200ml-24h-hombre/,2026-05-30
NIKDENIUREDT200,NIKE,DESODORANTE NIKE URBANITE WOODY LANE EDT 200ML 24H HOMBRE,,EDT,Hombre,200,,2800,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/nike/desodorante-nike-urbanite-woody-lane-edt-200ml-24h-hombre/,2026-05-30
LATDESPLAUNK200,LATTAFA,DESODORANTE SPRAY LATTAFA MAAHIR LEGACY DESODORANTE SPRAY 200 ML HOMBRE,,Unknown,Hombre,200,,2600,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/lattafa/desodorante-spray-lattafa-maahir-legacy-desodorante-spray-200-ml-hombre/,2026-05-30
EMPEMGEHAEDP100,EMPER,EMPER GENIUS HAYATI 100ML SPR EDP 100ML HOMBRE – MANDARIN SKY,,EDP,Hombre,100,,17990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/emper/emper-genius-hayati-100ml-spr-edp-100ml-hombre-inspirado-en-mandarin-sky/,2026-05-30
ESTLESLAPLEDC100,ESTEE LAUDER,ESTEE LAUDER PLEASURES FOR MEN EDC 100ML HOMBRE,,EDC,Hombre,100,,20990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/estee-lauder/estee-lauder-pleasures-for-men-edc-100ml-hombre/,2026-05-30
VERPEVEBRPER90,VERSACE,PERFUME VERSACE BRIGHT CRYSTAL EMERALD EDP 90ML MUJER,,PERFUME,Mujer,90,,80990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/versace/perfume-versace-bright-crystal-emerald-edp-90ml-mujer/,2026-05-30
JEAPPEJEPAPER100,JEAN PAUL GAULTIER,PERFUME JEAN PAUL GAULTIER LA BELLE ROSEA ROSEA EDP 100 ML 2026 MUJER,,PERFUME,Mujer,100,,115900,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/jean-paul-gaultier/perfume-jean-paul-gaultier-la-belle-rosea-rosea-edp-100-ml-2026-mujer/,2026-05-30
