sku,brand,product_name,variant,perfume_type,gender,ml,barcode,sale_price,original_price,available,source_site,source_url,scraped_at
LATLASAMUEDP100,LATTAFA,LATTAFA SAKEENA MUJER EDP 100 ML (M),,EDP,Mujer,100,,19542,33990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-sakeena-mujer-edp-100-ml-m,2026-05-30
LATLAQAALEDP00,LATTAFA,LATTAFA QAED AL FURSAN UNISEX EDP 90 (U),,EDP,Unisex,,,11892,19990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-qaed-al-fursan-unisex-edp-90-u,2026-05-30
LATLAHAHOEDP100,LATTAFA,LATTAFA HAYAATI HOMBRE EDP 100 ML (H),,EDP,Hombre,100,,15191,45990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-hayaati-hombre-edp-100-ml-h,2026-05-30
LATLALAYAEDP100,LATTAFA,LATTAFA LATTAFA YARA MOI MUJER EDP 100 ML (M),,EDP,Mujer,100,,16992,39990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-yara-moi-mujer-edp-100-ml-m,2026-05-30
ARMARCLDEEDT105,ARMAF,ARMAF CLUB DE NUIT INTENSE MAN EDT 105 ML (H),,EDT,Hombre,105,,29691,59990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/sterling-parfums-club-de-nuit-intense-man-105-ml-h,2026-05-30
AMWAMLAALEDP100,AMWAAJ,AMWAAJ LAHAN AL KHULOOD UNIEX EDP 100 ML (U),,EDP,Hombre,100,,13205,26990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/amwaaj-lahan-al-khulood-uniex-edp-100-ml-u,2026-05-30
ARMARNISAEDP90,ARMAF,ARMAF NICHE SAPPHIRE UNISEX EDP 90 ML (U),,EDP,Unisex,90,,19000,48990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/armaf-niche-sapphire-unisex-edp-90-ml-u,2026-05-30
GIVGIGEEDEDP100,GIVENCHY,GIVENCHY GENTLEMAN EDP 100 ML (H),,EDP,Hombre,100,,76492,106990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/givenchy-gentleman-edp-100-ml-h,2026-05-30
ARIGARGRMOEDP30,ARIANA GRANDE,ARIANA GRANDE MOONLIGHT SET EDP 30 ML + CREMA 50 ML (M),,EDP,Unknown,30,,31163,46990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/ariana-grande-4,2026-05-30
RASRARALAEDP75,RASASI,RASASI RASASI LA YUQAWAM WOMAN EDP 75 ML (M),,EDP,Mujer,75,,37991,74990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/rasasi-la-yuqawam-woman-edp-75-ml-m,2026-05-30
RASRALAYUEDP75,RASASI,RASASI LA YUQAWAM TOBACO BLAZE MEN EDP 75 ML (H),,EDP,Hombre,75,,33990,76990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/rasasi-la-yuqawam-tobaco-blaze-men-edp-75-ml-h,2026-05-30
RASRASHPOEDP90,RASASI,RASASI SHUHRAH POUR FEMME EDP 90 ML (M),,EDP,Mujer,90,,17005,42990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/rasasi-shuhrah-pour-femme-edp-90-ml-m,2026-05-30
RASRASHPOEDP90,RASASI,RASASI SHUHRAH POUR HOMME EDP 90 ML (H),,EDP,Hombre,90,,24960,41990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/rasasi-shuhrah-pour-homme-edp-90-ml-h,2026-05-30
VIKRVIROGOEDP90,VIKTOR & ROLF,VIKTOR & ROLF GOOD FORTUNE EDP 90 ML (M),,EDP,Mujer,90,,66491,143990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/viktor-rolf-good-fortune-edp-90-ml-m,2026-05-30
BURBUHEEDEDP100,BURBERRY,BURBERRY HERO EDP 100 ML (H),,EDP,Mujer,100,,80741,106990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/burberry-hero-edp-100-ml-h-1,2026-05-30
AZZAZTHMOEDP100,AZZARO,AZZARO THE MOST WANTED INTENSE EDP 100 ML (H),,EDP,Hombre,100,,62991,109990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/azzaro-the-most-wanted-intense-edp-100-ml-h,2026-05-30
ALHAALHAALPER10,AL HARAMAIN,AL HARAMAIN ALMAS SILVER ACEITE CONCENTRADO DE PERFUME 10 ML (U),,PERFUME,Hombre,10,,28491,61990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/al-haramain-almas-silver-aceite-concentrado-de-perfume-10-ml-u,2026-05-30
ELIPSHSEEXUNK300,ELITE PERFUMES,SHAMPOO SERIE EXPERT VITAMINO COLOR 300 ML,,Unknown,Unknown,300,,16190,21990,False,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/shampoo-serie-expert-vitamino-color-300-ml,2026-05-30
ARIGARGRTHEDP10,ARIANA GRANDE,ARIANA GRANDE THANK U NEXT SET EDP 10 ML + R.E.M EDP 10 ML (M),,EDP,Unknown,10,,18550,29990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/ariana-grande-8,2026-05-30
DUMDUNIBLEDP100,DUMONT,DUMONT NITRO BLUE POUR HOMME EDP 100 ML (H),,EDP,Hombre,100,,22070,35090,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/dumont,2026-05-30
ELIPDUNIBLEDP100,ELITE PERFUMES,DUMONT NITRO BLACK POUR HOMME EDP 100 ML (H),,EDP,Hombre,100,,23911,35090,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/dumont-nitro-black-pour-homme-edp-100-ml-h,2026-05-30
ELIPDUNIGREDP100,ELITE PERFUMES,DUMONT NITRO GREEN POUR HOMME EDP 100 ML (H),,EDP,Hombre,100,,19542,35090,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/dumont-nitro-green-pour-homme-edp-100-ml-h,2026-05-30
ELIPDUNIREEDP100,ELITE PERFUMES,DUMONT NITRO RED POUR HOMME EDP 100 ML (H),,EDP,Hombre,100,,26671,49990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/dumont-nitro-red-pour-homme-edp-100-ml-h,2026-05-30
ELIPDUNIWHEDP100,ELITE PERFUMES,DUMONT NITRO WHITE POUR HOMME EDP 100 ML (H),,EDP,Hombre,100,,25641,35090,False,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/dumont-nitro-white-pour-homme-edp-100-ml-h,2026-05-30
ORIORLEMOEDP85,ORIENTICA,ORIENTICA LE MOTIF WILD NEROLI HOMBRE EDP 85 ML (H),,EDP,Hombre,85,,33241,68990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/orientica-le-motif-wild-neroli-hombre-edp-85-ml-h,2026-05-30
RALLRALACOUNK118,RALPH LAUREN,RALPH LAUREN COLOGNE INTENSE 118 ML (H),,Unknown,Hombre,118,,50142,76990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/ralph-lauren-2,2026-05-30
PERPEOPUNEDP100,PER'KING,PERKING OPERA UNISEX EDP 100 ML (U),,EDP,Unisex,100,,23265,48990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/perking,2026-05-30
LATLAYAMUEDP100,LATTAFA,LATTAFA YARA MUJER EDP 100 ML (M),,EDP,Mujer,100,,20891,59990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-yara-mujer-edp-100-ml-m,2026-05-30
LATLATAEDEDP100,LATTAFA,LATTAFA TAWEEL EDP 100 ML (U),,EDP,Hombre,100,,18607,33990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-taweel-edp-100-ml-u,2026-05-30
LATLAKHEDEDP100,LATTAFA,LATTAFA KHAMRAH EDP 100 ML (U),,EDP,Hombre,100,,25641,49990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-khamrah-edp-100-ml-u,2026-05-30
LATLAHAGOEDP100,LATTAFA,LATTAFA HAYAATI GOLD ELIXIR EDP 100 ML (U),,EDP,Hombre,100,,15292,23990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-hayaati-gold-elixir-edp-100-ml-u,2026-05-30
LATLAHAALEDP100,LATTAFA,LATTAFA HAYAATI AL MALEKY EDP 100 ML (U),,EDP,Hombre,100,,13592,33990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-hayaati-al-maleky-edp-100-ml-u,2026-05-30
LATLAFAROEDP100,LATTAFA,LATTAFA FAKHAR ROSE OF LATTAFA MUJER EDP 100 ML (M),,EDP,Mujer,100,,16992,33990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-fakhar-pride-of-lattafa-mujer-edp-100-ml-m,2026-05-30
LATLAFAPREDP100,LATTAFA,LATTAFA FAKHAR PRIDE OF LATTAFA HOMBRE EDP 100 ML (H),,EDP,Hombre,100,,19791,34990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-fakhar-pride-of-lattafa-hombre-edp-100-ml-m-2,2026-05-30
LATLAFAPREDP100,LATTAFA,LATTAFA FAKHAR PRIDE OF LATTAFA HOMBRE EDP 100 ML (H),,EDP,Hombre,100,,19990,34990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-fakhar-pride-of-lattafa-hombre-edp-100-ml-m-1,2026-05-30
LATLAFAPREDP100,LATTAFA,LATTAFA FAKHAR PRIDE OF LATTAFA HOMBRE EDP 100 ML (H),,EDP,Hombre,100,,19990,34990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-fakhar-pride-of-lattafa-hombre-edp-100-ml-m,2026-05-30
LATLABAALUNK100,LATTAFA,LATTAFA BADEE AL OUD AMETHYST UNISEX 100 ML (U),,Unknown,Unisex,100,,19791,32990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-badeel-al-oud-amethyst-mujer-100-ml-m,2026-05-30
LATLAASHOEDP100,LATTAFA,LATTAFA ASAD HOMBRE EDP 100 ML (H),,EDP,Hombre,100,,20990,49990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-asad-hombre-edp-100-ml-h,2026-05-30
LATLAANABEDP60,LATTAFA,LATTAFA ANA ABIYEDH ROUGE EDP 60 ML (U),,EDP,Hombre,60,,17091,23990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-ana-abiyedh-rouge-edp-60-ml-u,2026-05-30
