sku,brand,product_name,variant,perfume_type,gender,ml,barcode,sale_price,original_price,available,source_site,source_url,scraped_at
AJMKHNUEDEDP85,AJMAL,KHADLAJ NUHA EDP 85 ML MUJER,,EDP,Mujer,85,,2190000,3499000,True,lodoro.cl,https://www.lodoro.cl/products/khadlaj-nuha-edp-85-ml-mujer,2026-05-28
VICSVISEPUUNK236,VICTORIA SECRET,VICTORIA SECRET PURE SEDUCTION SHIMMER LOCIÓN 236 ML MUJER NUEVO FORMATO,,Unknown,Mujer,236,,1490000,2499000,True,lodoro.cl,https://www.lodoro.cl/products/pure-seduction-shimmer-victoria-secret-locion-236-ml-mujer-nuevo-formato,2026-05-28
KHAKHWOOUEDP100,KHADLAJ,KHADLAJ WOW OUD EDP 100ML UNISEX,,EDP,Unisex,100,,1590000,13999000,True,lodoro.cl,https://www.lodoro.cl/products/khadlaj-wow-oud-edp-100ml-unisex,2026-05-28
LECHLECHEMEDP100,LE CHAMEAU,LE CHAMEAU EMPER ARABIA ORCHID 100ML EDP MUJER,,EDP,Mujer,100,,1459000,4299000,True,lodoro.cl,https://www.lodoro.cl/products/le-chameau-emper-arabia-orchid-100ml-edp-mujer,2026-05-28
LATLAPRPEEDP100,LATTAFA,LATTAFA PRIDE PEACE & LOVE EDP 100 ML UNISEX,,EDP,Unisex,100,,2790000,3899000,True,lodoro.cl,https://www.lodoro.cl/products/lattafa-pride-peace-love-edp-100-ml-unisex,2026-05-28
LATLATHKIEDP100,LATTAFA,LATTAFA THE KINGDOM EDP 100 ML MUJER,,EDP,Mujer,100,,2690000,7899000,True,lodoro.cl,https://www.lodoro.cl/products/lattafa-the-kingdom-edp-100-ml-mujer,2026-05-28
LATLAMUWHEDP100,LATTAFA,LATTAFA MUSAMAM WHITE INTENSE EDP 100 ML UNISEX,,EDP,Unisex,100,,3990000,4899000,True,lodoro.cl,https://www.lodoro.cl/products/lattafa-musamam-white-intense-edp-100-ml-unisex,2026-05-28
LATLAPRBREDP100,LATTAFA,LATTAFA PRIDE BRIONCHE VANILLE EDP 100 ML UNISEX,,EDP,Unisex,100,,1890000,4499000,True,lodoro.cl,https://www.lodoro.cl/products/lattafa-pride-brionche-vanille-edp-100-ml-unisex,2026-05-28
LATLAPRNAEDP100,LATTAFA,LATTAFA PRIDE NATURAL OUD EDP 100 ML UNISEX,,EDP,Unisex,100,,1890000,4499000,True,lodoro.cl,https://www.lodoro.cl/products/lattafa-pride-natural-oud-edp-100-ml-unisex,2026-05-28
LATLAASSAEDP100,LATTAFA,LATTAFA ASDAAF SAUD EDP 100 ML UNISEX,,EDP,Unisex,100,,1290000,3499000,True,lodoro.cl,https://www.lodoro.cl/products/lattafa-asdaaf-saud-edp-100-ml-unisex,2026-05-28
LATLAPRAREDP100,LATTAFA,LATTAFA PRIDE ART OF NATURE I EDP 100 ML UNISEX,,EDP,Unisex,100,,2790000,5999000,True,lodoro.cl,https://www.lodoro.cl/products/lattafa-pride-art-of-nature-i-edp-100-ml-unisex,2026-05-28
LATLAAJMLEDP60,LATTAFA,LATTAFA AJWAD 60 ML EDP SET + DEO SPRAY 200ML UNISEX,,EDP,Unisex,60,,1790000,3599000,True,lodoro.cl,https://www.lodoro.cl/products/lattafa-ajwad-edp-60-ml-perfume-spray-200ml-unisex,2026-05-28
